ID,Curso,Descricao,Competencias provaveis
1407,Atualização em Gestão Financeira e Orçamentária do SUAS,"Este curso tem como objetivo atualizar e ampliar os conhecimentos dos participantes, incentivando-os a avaliar, repensar e propor melhorias na gestão financeira e orçamentária do Sistema Único de Assistência Social (SUAS), com foco no uso eficiente dos recursos públicos e nas ferramentas disponíveis para a execução dos Serviços Socioassistenciais.","['gestão pública', 'participação social', 'accountability pública']"
1204,Violência de gênero contra mulheres e meninas: prevenção em três níveis,"Neste curso, você aprenderá a prevenir violências contra mulheres e meninas. Vamos conhecer os principais temas e conceitos, adotando uma visão ampla e inclusiva para entender as dinâmicas sociais que perpetuam essas violências. Além disso, abordaremos estratégias práticas para identificar, prevenir e reduzir seus impactos. Inscreva-se!",[]
1398,Gestão Estratégica e Inovação nas Empresas Estatais,"Capacitar os profissionais a aplicar práticas de planejamento estratégico, inovação e sustentabilidade, com foco nos ODS e nas diretrizes ESG . A formação aborda temas como missão, visão, governança e políticas públicas, promovendo uma gestão estatal consciente, sustentável e alinhada às demandas atuais.","['gestão de projetos', 'planejamento estratégico', 'desenvolvimento sustentável', 'políticas públicas']"
1401,Execução e Avaliação dos Planos de Entrega e de Trabalho do PGD,Este curso vai apresentar as principais ferramentas de avaliação e execução dos planos de entrega e de trabalho para servidoras e servidores que trabalham no Programa de Gestão e Desempenho (PGD) em diferentes órgãos da administração pública federal.,"['gestão de projetos', 'gestão de processos', 'metodologias ativas', 'avaliação de desempenho', 'gestão de serviços públicos']"
1402,Time management and productivity,"Do you know where you're heading? How can you choose the best path? In this course, you will embark on a journey of self-discovery and learn productive processes and methods to enhance your individual and collective skills related to increasing productivity and efficiency in time management.",['metodologias ativas']
1201,Promoção da Saúde das Pessoas LGBTQIA,"Neste curso, você encontrará ferramentas conceituais e noções práticas para um atendimento ético e inclusivo que respeite a diversidade sexual e de gênero de todas as pessoas. De maneira introdutória, serão abordadas questões relacionadas ao tratamento de saúde e ao tratamento social de todas as pessoas, desde a chegada do usuário no sistema público de saúde até a finalização do atendimento.",['ética no serviço público']
1395,IA - Aplicações no Governo Federal,"Este curso apresenta uma visão abrangente sobre conceitos e aplicações práticas de inteligência artificial (IA) no setor público. Pretende instrumentalizar participantes a compreenderem aplicações práticas de IA no contexto governamental para otimizar processos, melhorar a tomada de decisões e promover a inovação nos serviços públicos.",['inteligência artificial']
1182,Gestión del Tiempo y Productividad,"¿Sabes hacia dónde te diriges? ¿Cómo puedes elegir el mejor camino? En este curso, emprenderás un viaje de autoconocimiento y conocerás procesos y métodos productivos para el perfeccionamiento de tus competencias individuales y colectivas, relacionadas con el aumento de la productividad y la eficiencia en la gestión del tiempo.",['gestão do tempo']
1054,Marcos Legais Antirracistas para Igualdade Racial,"Explore as dinâmicas das identidades raciais em discussões sobre racismo, raça e gênero! O curso aborda questões sociais, econômicas e políticas, promovendo troca de experiências e análise crítica. Desenvolva repertório para interpretar e combater práticas racistas e discriminatórias de forma reflexiva.",[]
1384,Introdução ao Planejamento da Adaptação à Mudança do Clima,"Neste curso você verá por que a mudança do clima se conecta com a gestão pública e conhecerá as principais bases do planejamento da adaptação à essa variação. Assim, esta formação visa iniciar ou fortalecer ações de planejamento da adaptação à mudança do clima em diferentes territórios, seja um município, uma região, uma área natural protegida, entre outros.",[]
1394,Metodologia de Elaboraçao de Plano de Gerenciamento de Resíduos Sólidos,"Este curso propõe um olhar sobre práticas sustentáveis na gestão de resíduos sólidos em diversas organizações, contribuindo para a promoção da saúde pública, a preservação do meio ambiente e o desenvolvimento sustentável da sociedade. Ficou interessado(a)? Inscreva-se!","['desenvolvimento sustentável', 'governança ambiental']"
1382,Contratação e licitações em BIM,"Este curso visa preparar profissionais da Administração Pública a incorporar a metodologia BIM na gestão de contratos relacionados a obras e serviços de engenharia. A abordagem contempla o processo de gestão da informação, os principais documentos da ABNT NBR 19650, além de apresentar boas práticas de fluxo de trabalho e a legislação básica aplicável.","['gestão de processos', 'design instrucional']"
1036,Gestão de Conflitos pela Água,"Neste curso você vai conhecer estratégias para lidar com os desafios dos conflitos pelo uso da água, explorando a complexidade das discussões hídricas no Brasil e no mundo, bem como analisar casos de sucesso na resolução dessas disputas.",['resolução de conflitos']
1380,"Productivity Strategies: Clarity, Purpose, and Task Prioritization","Shall we uncover the path to a more productive life together? Discover how to make assertive decisions and prioritize tasks. Optimize your time with effective organization. Learn to cultivate focus, concentration, and efficiency, and uncover your values to achieve your goals and overcome procrastination. Ready for this transformation? Sign up now!",[]
1393,Regularização Fundiária Urbana em imóvel da União,"Neste curso, você irá aprender sobre Regularização Fundiária em Imóveis da União, com a finalidade de atenuar o panorama de informalidades das cidades.
Dessa forma, visa instrumentalizar as diferentes pessoas e entidades envolvidas no processo de Regularização Fundiária Urbana (Reurb) em todo território nacional, de modo a contribuir para a implementação das políticas públicas.","['gestão pública', 'administração pública', 'políticas públicas', 'gestão de cidades inteligentes', 'atendimento ao cidadão']"
1392,Conselhos de Proteção dos Direitos da Pessoa Idosa,"O curso Conselhos de Proteção dos Direitos da Pessoa Idosa, desenvolvido por uma iniciativa de integração entre o TCE-RJ, o MPRJ e a Receita Federal, tem como foco fortalecer a formação de agentes públicos, com ênfase no conhecimento da estrutura, organização, competências e atribuições dos Conselhos de Proteção da área.","['gestão pública', 'administração pública', 'organização pessoal', 'accountability pública']"
1386,Gestão dos Fundos da Pessoa Idosa,"Este curso, fruto de uma iniciativa inovadora entre o TCE-RJ, o MPRJ e a Receita Federal, pretende fortalecer a compreensão de agentes públicos, especialmente membros dos Conselhos Municipais de Defesa dos Direitos da Pessoa Idosa, sobre o processo orçamentário, a captação de recursos e a prestação de contas dos Fundos.","['gestão de pessoas', 'gestão pública', 'administração pública', 'direito administrativo', 'auditoria governamental', 'organização pessoal', 'gestão de serviços públicos', 'accountability pública']"
1383,Envelhecimento no Brasil e Políticas de Proteção aos Direitos da Pessoa Idosa,"O curso Envelhecimento no Brasil e Políticas de Proteção aos Direitos da Pessoa Idosa, uma iniciativa de integração entre o TCE-RJ, o MPRJ e a Receita Federal, trata de questões voltadas para o conhecimento sobre a Política Nacional do Idoso e o Estatuto da Pessoa Idosa. Inscreva-se!",[]
1381,Políticas Públicas e Orçamento Público na Implementação dos Direitos da Pessoa Idosa,"O curso Políticas Públicas e Orçamento Público na Implementação dos Direitos da Pessoa Idosa, desenvolvido por intermédio de uma iniciativa de integração entre o TCE-RJ, MPRJ e RFB, tem como foco promover o entendimento adequado do ciclo de políticas públicas e de sua relação com os instrumentos de planejamento governamental.","['gestão pública', 'administração pública', 'orçamento público', 'governo digital', 'auditoria governamental', 'políticas públicas', 'atendimento ao cidadão', 'gestão de serviços públicos', 'participação social', 'accountability pública']"
1192,Letramento Racial aplicado ao Setor Público,"Compreenda como o letramento racial fortalece a construção de políticas públicas mais justas e inclusivas. Elaborado em parceria com o Ministério da Igualdade Racial (MIR), este curso é um convite à reflexão e à ação para promover equidade racial no setor público brasileiro",[]
1378,"Integridade, gestão de riscos e controle em empresas estatais","Neste curso, você irá desenvolver a compreensão da governança, integridade, gestão de riscos e controle organizacional no contexto das empresas estatais, para promoção de práticas alinhadas à legislação vigente, à entrega de valor público e ao fortalecimento da cultura de integridade, com foco na estruturação de controles internos e na atuação dos órgãos de controle interno e externo.","['gestão pública', 'administração pública', 'ética no serviço público', 'accountability', 'direito administrativo', 'controle interno', 'auditoria governamental', 'governança ambiental', 'políticas públicas', 'accountability pública']"
617,Monitoramento e Avaliação de Políticas Públicas de Educação Ambiental,"Quer avaliar e monitorar políticas públicas de Educação Ambiental? Neste curso, você aprende conceitos básicos, fases e características dessas políticas, além de usar o Sistema MonitoraEA. Transforme a EA com avaliação e monitoramento! Faça parte dessa mudança!",[]
1043,Introdução ao Processamento de Linguagem Natural,"Aprenda as principais abordagens de Processamento de Linguagem Natural de forma estruturada e prática! Este curso oferece um conteúdo sequencial sobre técnicas de preparação e aplicação, utilizando as linguagens Python e R. Domine as ferramentas essenciais para análise, modelagem e interpretação de dados textuais.",[]
1049,Soluções Preditivas Baseadas em Dados com o Uso do R e do Python,"Este curso é para você que deseja aprender sobre modelos de previsão, machine learning, diferentes tipos de algoritmos e aplicações em R e Python. Um curso completo para introduzir você no mundo da inteligência artificial. Inscreva-se e faça parte da área de ciência de dados.",[]
1379,Orçamento das Empresas Estatais,"Este curso tem como objetivo geral qualificar a atuação dos Conselheiros de Administração das Empresas Estatais a partir do domínio de conceitos básicos de gestão orçamentária e financeira das empresas. Com carga horária prevista de 10h, aborda temas centrais em Gestão Pública e Orçamento e Finanças, tocando também em Políticas Públicas e Regulação.","['gestão de projetos', 'gestão de processos', 'gestão pública', 'administração pública', 'orçamento público', 'finanças públicas', 'direito administrativo', 'auditoria governamental', 'políticas públicas', 'gestão de serviços públicos', 'accountability pública']"
1336,Diversidade e inclusão no ambiente de trabalho,"O curso oferece uma base teórica e prática, destacando sua relevância estratégica para o sucesso organizacional e o bem-estar social. Você terá uma compreensão profunda dos princípios de DEI, estará equipada(o) com as habilidades necessárias para liderar iniciativas de inclusão e terá a capacidade de influenciar positivamente a cultura organizacional. Quer saber mais? Increva-se","['responsabilidade social', 'organização pessoal', 'participação social']"
1373,Capacitação em Governança de Dados,"Você sabe como aproveitar o potencial dos dados para aprimorar seu uso, desenvolver políticas públicas e entregar serviços de qualidade aos cidadãos?
Neste curso você irá explorar a essência da Governança de Dados e percorrerá uma jornada de descobertas e transformações com o intuito de aprimorar o uso de dados pela administração pública federal.","['gestão pública', 'administração pública', 'governo digital', 'auditoria governamental', 'políticas públicas', 'atendimento ao cidadão', 'gestão de serviços públicos', 'accountability pública']"
1338,Gestão de Pessoas,"A gestão de pessoas evoluiu para um papel estratégico nas organizações. Este curso apresenta os principais conceitos, técnicas e ferramentas que fazem parte do processo de gestão de pessoas. Aborda, ainda, o papel do gestor de pessoas e sua importância para o alcance dos objetivos institucionais.",['organização pessoal']
1351,Inclusão social e laboral das pessoas com deficiência intelectual ou transtorno do espectro autista,"Este curso aborda os fundamentos para compreender pessoas com deficiência intelectual ou transtorno do espectro autista. Explora características, mitos, superação de barreiras e apoios para inclusão no trabalho. Apresenta a metodologia do emprego apoiado, o papel da família e destaca a importância de oferecer os apoios necessários para o sucesso da inclusão.",[]
1350,Liderança e Gestão no Trabalho Híbrido,"O curso explora conceitos, técnicas e ferramentas para liderança e gestão no contexto do trabalho híbrido, além de boas práticas organizacionais para enfrentar desafios atuais para ajudar você a conhecer e aplicar recursos valiosos de gestão, bem como a entender os diferentes papéis de um líder nesse “admirável mundo novo”. Inscreva-se!","['metodologias ativas', 'design instrucional', 'ensino híbrido']"
1374,Github Copilot,"Saiba mais sobre o GitHub Copilot, uma ferramenta com recursos de Inteligência Artificial generativa que ajuda na colaboração, no desenvolvimento, nos testes, e até mesmo na entrega de produtos e aplicações, aumentando a produtividade de desenvolvedores e programadores. Ficou interessado(a)? Inscreva-se!",['inteligência artificial']
1376,Github Codespaces,"Saiba mais sobre o GitHub Codespaces, um ambiente de desenvolvimento inovador que te permite programar em qualquer lugar do planeta por ser baseado em nuvem, aumentando a produtividade e a colaboração entre desenvolvedores e programadores. Ficou interessado(a)? Inscreva-se!",['computação em nuvem']
1375,GitHUB Actions,"Saiba mais sobre o GitHub Actions, ferramenta que automatiza fluxos de trabalho dentro do ambiente no GitHub, aumentando a produtividade de desenvolvedores e programadores. Ficou interessado(a)? Inscreva-se!",[]
1377,Determinação e Análise de Vazões Mínimas para o Gerenciamento dos Recursos Hídricos,"O curso integra conhecimentos de hidrologia estatística, legislação e gestão de recursos hídricos. Ao longo do estudo, você terá a possibilidade de experienciar a análise e a interpretação no cálculo de vazões mínimas, a partir do tratamento de séries de vazões diárias, explorando duas abordagens estatísticas: a Curva de Permanência e a Análise de Frequências. Ficou interessado? Increva-se!","['análise de dados', 'metodologias ativas']"
1337,Gestão de Conflitos,"Este curso apresenta as práticas mais atuais e eficazes em gestão de conflitos, ajudando você a desenvolver habilidades essenciais para lidar com desafios e alcançar melhores resultados em sua vida pessoal e profissional. Ideal para quem busca se comunicar melhor e tomar decisões mais assertivas.","['resolução de conflitos', 'comunicação assertiva', 'metodologias ativas', 'formação continuada', 'aprendizado contínuo']"
1335,Direitos da Natureza,"Este curso convida você a explorar novas estratégias jurídicas inspiradas em cosmovisões originárias, que buscam regenerar os ciclos de vida e enfrentar a crise climática com uma ética biocêntrica e cooperativa.",[]
1360,Democratizando BIM – Agentes Públicos,"O curso foi elaborado com foco na necessidade de capacitar agentes públicos para a adoção e fiscalização do BIM (Building Information Modeling). Com base nas diretrizes da Nova Lei de Licitações, oferece conhecimentos essenciais para promover maior eficiência, transparência e inovação na gestão de obras públicas.","['gestão pública', 'administração pública', 'segurança da informação', 'transparência pública', 'auditoria governamental', 'políticas públicas', 'accountability pública']"
1349,Noções básicas de atendimento ao cidadão,"O atendimento no serviço público é alvo de críticas de cidadãos de todos os níveis sociais. Contudo, há esforços para mudar essa percepção, com investimentos em melhorias, conscientização e capacitação de servidores. Este curso oferece ferramentas conceituais e práticas para aprimorar o serviço prestado ao cidadão.","['gestão pública', 'políticas públicas', 'atendimento ao cidadão', 'gestão de serviços públicos', 'accountability pública']"
1334,Contratações públicas sustentáveis: da abordagem sistêmica à aplicação prática,"O curso aborda inovações normativas em contratações públicas sustentáveis no Brasil, destacando a Lei 14.133/2021, a Resolução CNJ nº 347/2020, e guias da Justiça do Trabalho e AGU. Enfatiza o Plano de Logística Sustentável, gestão de riscos e critérios de sustentabilidade na elaboração de estudos técnicos preliminares e termos de referência para bens e serviços.",['desenvolvimento sustentável']
1359,Regulação e Prestação dos Serviços de Saneamento Básico,"Neste curso, você compreenderá a relevância da Política de Desenvolvimento Urbano e a prioridade dada às obras de infraestrutura de abastecimento de água potável e esgotamento sanitário, considerando o papel das agências reguladoras na fiscalização e na regulação, noções de serviço adequado, modicidade tarifária, universalização, metas, indicadores e a efetiva participação social na regulação.","['gestão pública', 'governança ambiental', 'políticas públicas', 'gestão de cidades inteligentes', 'gestão de serviços públicos']"
1355,Recursos Hídricos,"Neste curso, você conhecerá a correlação entre recursos hídricos e desenvolvimento socioambiental e as diversidades que envolvem a adequação da gestão e as situações de escassez. Conhecerá também a funcionalidade do Sistema Nacional de Informação sobre Recursos Hídricos, os custos de combate a poluição das águas, bem como, os padrões de potabilidade, de fiscalização e as tecnologias de tratamento.",[]
1354,Políticas Públicas para o Saneamento Básico e o Desenvolvimento Sustentável,"Este curso aborda os desafios enfrentados pelos municípios na implementação de políticas de recursos hídricos e saneamento, além de temas ligados ao desenvolvimento sustentável e à igualdade de gênero, com foco na eliminação de desigualdades e no acesso universal à água e ao saneamento como direito fundamental.","['gestão pública', 'desenvolvimento sustentável', 'governança ambiental', 'gestão de cidades inteligentes']"
1357,Saneamento Básico e Saúde Pública,"Neste curso, você conhecerá os aspectos conceituais do saneamento básico e a sua correlação com a saúde pública. A escassez hídrica e a poluição das águas representam desafios urgentes para a sociedade, exigindo soluções inovadoras e eficazes. Sem um sistema adequado de tratamento de esgoto, a contaminação de rios e lençóis freáticos reduz a quantidade e a qualidade de água potável disponível.",[]
1358,Drenagem Urbana,"Neste curso, você entenderá que o Plano Diretor de Drenagem Urbana deve incluir diagnóstico, ações, planos, financiamento e regulação. Verá também como a falta de planejamento, a ocupação irregular e a impermeabilização das cidades agravam alagamentos e inundações, gerando diversos prejuízos. Inscreva-se!","['gestão pública', 'governança ambiental', 'gestão de cidades inteligentes']"
1356,Resíduos Sólidos,"Neste curso, você aprenderá sobre redução, reutilização, coleta seletiva e reciclagem. Exploraremos a integração dos catadores, os incentivos à organização e à indústria da reciclagem, além da recuperação de lixões, transformando o passado e construindo um futuro sustentável.",[]
646,Módulo de Obras: Execução,"Compreenda o funcionamento da execução de obras públicas com eficiência e transparência. Este curso explora as etapas do sistema Transferegov.br, incluindo a verificação do processo licitatório, assinatura de contratos, habilitação para início da obra e cadastro de profundidade. Familiarize-se com as ferramentas auxiliam na fiscalização e contribuem para uma aplicação adequada dos recursos.","['segurança da informação', 'transparência pública']"
1348,Você sabe o que é a COP?,"Todos os anos, governos de todo o mundo se reúnem para a Conferência das Partes (COP) da UNFCCC para combater as mudanças climáticas. As COPs são fundamentais para coordenar ações climáticas em nível global, mas muitos não sabem o que acontece nos bastidores e nas manchetes. Este curso oferece uma sólida compreensão do objetivo das COPs, como o processo funciona e como identificar espaços para ação e influência.",[]
1048,Análise de Negócios no Desenvolvimento de Soluções Baseadas em Dados,"Descubra como a Análise de Negócios pode transformar desafios em oportunidades! Neste curso, você aprenderá a identificar problemas, mapear necessidades e utilizar dados para embasar decisões estratégicas, ampliando sua capacidade de análise e solução de problemas em diferentes contextos. Inscreva-se já!",[]
1194,Enfrentamento e Prevenção ao Discurso de Ódio e Extremismo,"Neste curso, você explorará os conceitos de discurso de ódio e extremismo, seu impacto na democracia e nos direitos humanos, além de estratégias para identificá-los e combatê-los, inclusive no ambiente digital. O curso também aborda a legislação e as ações governamentais relacionadas ao tema. Inscreva-se!",[]
1353,ASG na Gestão Pública: caminhos para a sustentabilidade,"Conheça os conceitos de ASG no setor público com uma introdução aos princípios de sustentabilidade, governança e responsabilidade social. Aprenda a aplicar essas práticas em políticas públicas e avalie seus impactos na gestão. Um curso pensado para fortalecer sua atuação no setor público. Participe e amplie sua visão sobre ASG!","['gestão pública', 'administração pública', 'desenvolvimento sustentável', 'responsabilidade social', 'políticas públicas', 'gestão de serviços públicos', 'accountability pública']"
1346,Introdução à Governança das Empresas Estatais,"Este curso oferece uma compreensão ampla sobre empresas e propriedades estatais, abordando seu arcabouço legal, governança e impacto no desenvolvimento econômico, social e ambiental do Brasil. De forma clara e prática, discutiremos como a governança pública pode garantir uma gestão alinhada aos objetivos dessas organizações e exploraremos novas perspectivas sobre seu papel estratégico nas economias modernas.",[]
1352,Cadastro Social na Reurb,"Neste curso, você irá aprender sobre Cadastro Social na Regularização Fundiária Urbana, com a finalidade de atenuar o panorama de informalidades das cidades, instrumentalizando as diferentes pessoas e entidades envolvidas no processo de Regularização Fundiária Urbana (Reurb) em todo território nacional, de modo a contribuir para a implementação das políticas públicas.","['gestão pública', 'políticas públicas', 'gestão de cidades inteligentes', 'atendimento ao cidadão', 'participação social']"
1341,"Escolas ON, Violências OFF: Educação para Segurança Online de Meninas","Este curso tem como foco instrumentalizar educadores e a sociedade civil para enfrentar as violências que afetam meninas, especialmente no meio digital. Aborda tipos comuns, leis aplicáveis e estratégias de prevenção e acolhimento. Destaca a escola como rede de proteção e a BNCC como aliada na promoção de uma educação livre de violências, com materiais acessíveis e inclusivos. Inscreva-se!",[]
634,Conhecendo o Programa de Voluntariado do ICMBio,"Você já considerou o impacto positivo que pode ter ao se envolver como voluntário no ICMBio? Aqui você encontra informações básicas sobre o Programa de Voluntariado do ICMBio, baseado em seu Guia de Gestão. Prepare-se para entender profundamente o programa e para se engajar de forma prática. Não perca esta oportunidade de fazer a diferença: inscreva-se agora e faça parte do voluntariado do ICMBio!",[]
1342,Gestão de Pessoas nas Empresas Estatais,"Neste curso vamos apresentar conceitos sobre o desenvolvimento de competências e de inovação na gestão de pessoas, no contexto próprio das empresas estatais.",['inovação']
